rating_id,movie_id,user,rating,review_date
1,1,Alice,9.0,2023-01-10
2,1,Bob,8.5,2023-01-12
3,2,Alice,9.5,2023-02-01
4,2,Carol,8.0,2023-02-03
5,3,Bob,10.0,2023-03-05
6,3,Dave,,2023-03-06
7,4,Alice,9.0,2023-04-10
8,4,Carol,8.5,2023-04-11
9,5,Bob,9.5,2023-05-01
10,5,Eve,9.0,2023-05-02
11,6,Alice,8.5,2023-06-01
12,6,Dave,7.5,2023-06-03
13,7,Bob,8.0,2023-07-10
14,7,Carol,,2023-07-12
15,8,Alice,9.5,2023-08-01
16,8,Bob,9.0,2023-08-02
17,9,Dave,7.0,2023-09-05
18,9,Eve,7.5,2023-09-06
19,10,Alice,9.5,2023-10-01
20,10,Carol,9.0,2023-10-03
21,1,Alice,9.0,2023-01-10
22,3,Bob,10.0,2023-03-05
23,99,Frank,8.0,2023-11-01
24,2,Carol,11.0,2023-02-03
